Location,Time,Lighting,Traffic_Density,Crime_Rate,Police_Presence,Public_Transport_Availability,CCTV_Presence,Population_Density,Safe_Road
Park,20:44,Poorly-lit,0.03,0.48,0,0,0,0.23,0
Public Transport Hub,03:05,Poorly-lit,0.19,0.62,0,1,1,0.9,1
Commercial District,23:12,Moderately-lit,0.1,0.55,0,0,1,0.83,0
Residential Area,18:52,Well-lit,0.45,0.08,1,1,1,0.56,1
Commercial District,03:56,No lighting,0.1,0.59,1,0,1,0.71,0
Public Transport Hub,00:21,Well-lit,0.26,0.59,1,0,1,0.86,0
Public Transport Hub,23:57,No lighting,0.7,0.48,1,1,1,0.77,1
Suburban Street,18:44,Poorly-lit,0.57,0.19,1,0,0,0.58,0
University Campus,20:16,Well-lit,0.07,0.21,1,1,1,0.43,1
Park,19:05,Poorly-lit,0.61,0.53,0,0,0,0.17,0
Main Road,05:40,Well-lit,0.34,0.41,0,1,1,0.23,1
Residential Area,18:25,Well-lit,0.07,0.12,1,1,0,0.55,1
Commercial District,01:11,No lighting,0.19,0.57,0,1,1,0.76,0
Suburban Street,05:11,Moderately-lit,0.02,0.32,1,0,1,0.42,1
Public Transport Hub,03:27,Moderately-lit,0.09,0.59,0,1,0,0.79,0
Park,05:47,No lighting,0.09,0.65,0,0,1,0.21,0
Park,23:35,Moderately-lit,0.03,0.66,0,0,0,0.25,0
Industrial Zone,22:15,Moderately-lit,0.44,0.56,0,0,0,0.11,0
University Campus,23:43,Well-lit,0.16,0.44,1,0,0,0.51,1
Main Road,04:26,Poorly-lit,0.03,0.45,1,0,1,0.26,0
University Campus,05:11,Moderately-lit,0.25,0.42,1,0,1,0.57,1
Public Transport Hub,23:19,Moderately-lit,0.18,0.46,0,1,0,0.89,0
Suburban Street,20:16,Well-lit,0.59,0.3,1,1,0,0.56,1
Park,05:02,No lighting,0.17,0.74,0,0,1,0.19,0
Main Road,05:28,Moderately-lit,0.33,0.55,0,1,0,0.12,0
University Campus,22:16,No lighting,0.14,0.22,0,1,1,0.41,0
Suburban Street,18:37,Moderately-lit,0.04,0.39,1,0,0,0.44,0
Commercial District,18:45,No lighting,0.06,0.48,0,1,1,0.83,0
Alleyway,05:55,No lighting,0.21,0.74,0,0,0,0.29,0
Main Road,02:11,No lighting,0.39,0.46,0,0,0,0.12,0
Main Road,02:06,Moderately-lit,0.05,0.44,1,1,1,0.11,0
Alleyway,00:27,Poorly-lit,0.02,0.77,0,0,0,0.29,0
Suburban Street,22:42,Poorly-lit,0.09,0.25,1,0,0,0.48,0
Alleyway,18:47,Well-lit,0.36,0.9,1,0,0,0.22,1
Main Road,22:21,Moderately-lit,0.34,0.4,1,1,0,0.21,1
Alleyway,23:27,Moderately-lit,0.36,0.86,1,0,0,0.13,0
Market Area,05:03,Well-lit,0.18,0.28,1,0,1,0.75,1
Commercial District,02:43,Well-lit,0.24,0.41,1,1,1,0.84,1
Industrial Zone,20:16,Moderately-lit,0.11,0.8,0,0,0,0.21,0
Main Road,22:33,No lighting,0.42,0.36,1,1,1,0.2,1
Park,19:38,Poorly-lit,0.33,0.73,1,1,0,0.17,0
Commercial District,04:31,Moderately-lit,0.1,0.38,1,1,1,0.82,1
Industrial Zone,20:28,Poorly-lit,0.03,0.78,0,0,1,0.1,0
Market Area,02:23,No lighting,0.16,0.34,1,1,0,0.75,0
Park,23:43,Well-lit,0.26,0.61,0,0,0,0.15,0
Market Area,20:08,No lighting,0.07,0.36,1,1,1,0.8,1
Park,00:33,Poorly-lit,0.13,0.67,1,1,0,0.29,0
Suburban Street,01:06,No lighting,0.39,0.41,0,0,1,0.6,0
Park,20:26,Poorly-lit,0.46,0.53,0,0,0,0.24,0
Residential Area,21:28,Poorly-lit,0.33,0.24,1,0,0,0.59,0
Main Road,23:38,Moderately-lit,0.03,0.53,1,1,1,0.16,1
Commercial District,04:53,No lighting,0.31,0.38,0,1,1,0.85,0
Suburban Street,03:11,Poorly-lit,0.6,0.33,1,0,0,0.43,0
Park,04:26,Moderately-lit,0.26,0.68,0,0,0,0.29,0
Park,20:07,Well-lit,0.07,0.64,1,0,1,0.19,1
University Campus,20:37,Moderately-lit,0.01,0.18,1,0,0,0.47,0
Alleyway,21:17,No lighting,0.06,0.74,0,1,0,0.21,0
Main Road,02:41,Poorly-lit,0.52,0.48,0,1,1,0.2,0
Park,05:44,Well-lit,0.45,0.56,0,0,0,0.22,0
Residential Area,03:09,Poorly-lit,0.09,0.21,1,0,0,0.45,0
Market Area,02:42,No lighting,0.01,0.43,1,0,0,0.72,0
University Campus,22:16,Poorly-lit,0.36,0.39,0,0,0,0.6,0
Main Road,20:59,Poorly-lit,0.22,0.4,1,1,1,0.28,1
Industrial Zone,22:35,Moderately-lit,0.03,0.67,0,1,1,0.13,0
Suburban Street,01:27,No lighting,0.04,0.31,0,0,0,0.42,0
Residential Area,02:28,Moderately-lit,0.21,0.33,1,0,0,0.53,0
University Campus,19:23,No lighting,0.04,0.28,1,1,0,0.59,0
Public Transport Hub,19:35,Poorly-lit,0.2,0.53,1,1,1,0.82,1
Commercial District,22:40,No lighting,0.12,0.46,0,0,1,0.86,0
Market Area,20:51,Moderately-lit,0.1,0.35,1,0,1,0.73,1
University Campus,00:58,Moderately-lit,0.14,0.44,1,0,1,0.42,1
Suburban Street,22:03,Moderately-lit,0.68,0.28,1,0,0,0.5,0
Alleyway,23:54,Poorly-lit,0.33,0.95,0,0,1,0.16,0
Residential Area,19:48,Moderately-lit,0.08,0.32,1,1,0,0.6,1
Public Transport Hub,20:25,No lighting,0.23,0.4,1,1,1,0.8,1
Main Road,05:26,Poorly-lit,0.06,0.47,0,1,1,0.17,0
Alleyway,21:46,Poorly-lit,0.03,0.85,0,0,1,0.14,0
Industrial Zone,02:20,Moderately-lit,0.08,0.82,0,0,0,0.19,0
Park,05:44,No lighting,0.09,0.68,1,0,0,0.24,0
Residential Area,00:04,No lighting,0.49,0.21,0,0,1,0.45,0
Main Road,02:32,Well-lit,0.06,0.42,1,1,1,0.26,1
Commercial District,01:03,Poorly-lit,0.81,0.45,0,0,1,0.76,1
Suburban Street,04:17,Moderately-lit,0.17,0.43,0,0,0,0.5,0
University Campus,01:50,No lighting,0.41,0.23,0,0,1,0.56,0
University Campus,19:21,Moderately-lit,0.26,0.43,0,0,1,0.55,0
University Campus,01:46,Well-lit,0.46,0.23,1,1,1,0.58,1
Industrial Zone,18:11,Poorly-lit,0.51,0.74,1,0,0,0.26,0
Park,21:41,No lighting,0.02,0.65,0,1,1,0.29,1
Market Area,04:49,No lighting,0.63,0.47,1,0,0,0.87,0
Residential Area,18:56,Well-lit,0.29,0.17,1,0,0,0.6,1
Residential Area,00:12,Well-lit,0.13,0.07,1,0,1,0.59,1
Market Area,19:29,Moderately-lit,0.2,0.52,1,1,0,0.83,1
Main Road,22:58,No lighting,0.04,0.41,0,1,1,0.27,0
Alleyway,01:42,Well-lit,0.33,0.69,0,0,0,0.22,1
Residential Area,23:44,No lighting,0.81,0.29,1,0,1,0.41,0
University Campus,03:11,No lighting,0.2,0.36,1,1,1,0.58,1
Commercial District,22:37,Moderately-lit,0.27,0.49,0,1,1,0.9,1
Market Area,01:35,No lighting,0.34,0.42,0,1,1,0.74,0
Suburban Street,18:19,Poorly-lit,0.16,0.26,1,1,0,0.6,0
Park,22:53,Well-lit,0.8,0.7,0,1,1,0.24,1
University Campus,04:58,Poorly-lit,0.23,0.17,0,0,0,0.43,0
Residential Area,01:36,No lighting,0.18,0.14,0,1,0,0.45,0
Commercial District,22:18,Poorly-lit,0.22,0.44,1,0,1,0.82,0
Industrial Zone,01:58,Moderately-lit,0.76,0.63,0,0,0,0.26,0
University Campus,20:40,Poorly-lit,0.19,0.16,1,0,0,0.46,0
Main Road,00:47,Well-lit,0.43,0.3,0,0,1,0.11,1
Market Area,03:46,No lighting,0.34,0.45,1,0,0,0.74,0
Industrial Zone,05:16,No lighting,0.11,0.75,0,0,1,0.3,0
Industrial Zone,18:15,Poorly-lit,0.31,0.55,0,1,1,0.21,0
Industrial Zone,20:54,Well-lit,0.23,0.69,0,1,0,0.27,0
University Campus,22:09,Moderately-lit,0.51,0.22,0,1,0,0.44,0
Industrial Zone,00:58,Moderately-lit,0.46,0.84,0,0,1,0.11,0
Park,23:49,Poorly-lit,0.06,0.59,1,0,1,0.3,0
Suburban Street,00:20,Well-lit,0.14,0.29,1,0,0,0.44,1
Residential Area,21:28,Well-lit,0.3,0.08,1,1,1,0.58,1
Main Road,19:51,Moderately-lit,0.25,0.36,0,1,1,0.27,0
Main Road,20:25,Moderately-lit,0.17,0.43,1,1,1,0.17,1
Commercial District,19:47,Poorly-lit,0.33,0.55,1,1,0,0.72,0
Public Transport Hub,02:22,Poorly-lit,0.02,0.4,1,1,0,0.72,0
Main Road,03:11,Well-lit,0.22,0.49,1,1,1,0.29,1
Suburban Street,19:49,Well-lit,0.43,0.31,1,1,1,0.48,0
Main Road,20:21,Poorly-lit,0.17,0.3,0,1,1,0.25,0
Park,04:38,Poorly-lit,0.36,0.51,0,0,1,0.14,0
Alleyway,04:38,No lighting,0.09,0.92,0,0,1,0.24,0
Suburban Street,23:43,Poorly-lit,0.39,0.34,1,1,1,0.57,0
Industrial Zone,22:18,Well-lit,0.12,0.59,0,0,0,0.14,0
Park,05:47,No lighting,0.01,0.68,1,1,0,0.11,0
Suburban Street,02:25,Moderately-lit,0.04,0.29,1,0,1,0.54,1
Residential Area,21:57,Moderately-lit,0.02,0.23,1,0,0,0.54,0
Main Road,00:36,Moderately-lit,0.0,0.48,0,1,1,0.25,0
Market Area,19:14,Moderately-lit,0.14,0.27,1,1,0,0.71,0
Industrial Zone,03:48,Well-lit,0.28,0.61,0,1,1,0.24,1
Alleyway,04:52,No lighting,0.04,0.91,0,0,1,0.13,0
Industrial Zone,20:26,Moderately-lit,0.32,0.55,0,0,1,0.22,0
Residential Area,23:59,Poorly-lit,0.62,0.32,1,0,1,0.4,0
Public Transport Hub,21:11,Moderately-lit,0.03,0.48,0,0,1,0.87,0
Park,18:59,Moderately-lit,0.44,0.58,1,0,0,0.24,0
Alleyway,01:56,No lighting,0.06,0.79,0,0,0,0.21,0
Industrial Zone,23:35,Moderately-lit,0.01,0.64,1,1,0,0.14,0
Industrial Zone,23:08,Moderately-lit,0.02,0.56,1,0,1,0.29,0
Public Transport Hub,23:00,Well-lit,0.01,0.49,0,1,1,0.73,1
Alleyway,00:39,No lighting,0.36,0.83,0,0,0,0.1,0
Main Road,19:21,Poorly-lit,0.04,0.48,0,1,0,0.15,0
Public Transport Hub,22:14,No lighting,0.07,0.55,1,1,1,0.84,1
Alleyway,01:58,Moderately-lit,0.24,0.77,0,0,1,0.12,0
Public Transport Hub,00:46,Well-lit,0.02,0.5,0,1,1,0.89,1
Commercial District,02:36,Poorly-lit,0.02,0.42,0,1,1,0.7,0
University Campus,02:59,Moderately-lit,0.06,0.33,0,0,0,0.47,0
Alleyway,04:15,Moderately-lit,0.38,0.78,0,0,0,0.16,0
Park,21:12,Poorly-lit,0.38,0.53,1,1,0,0.26,0
Market Area,01:38,Well-lit,0.2,0.49,1,0,0,0.8,1
Main Road,03:39,Poorly-lit,0.09,0.36,0,0,0,0.22,0
Residential Area,03:01,Poorly-lit,0.04,0.32,1,0,0,0.46,0
Commercial District,03:25,No lighting,0.45,0.49,0,1,1,0.86,0
Industrial Zone,21:03,Poorly-lit,0.36,0.73,0,0,0,0.21,0
Market Area,02:05,Well-lit,0.63,0.33,1,0,0,0.86,1
Main Road,03:16,No lighting,0.08,0.29,1,1,1,0.25,1
Commercial District,21:29,Moderately-lit,0.21,0.64,0,0,0,0.81,0
Market Area,20:39,Moderately-lit,0.19,0.33,1,0,0,0.82,1
Residential Area,03:26,Well-lit,0.03,0.16,1,0,0,0.47,1
Industrial Zone,18:32,Moderately-lit,0.38,0.76,0,0,1,0.1,0
Park,19:40,Poorly-lit,0.28,0.61,0,0,1,0.14,0
University Campus,23:14,No lighting,0.04,0.23,1,0,1,0.49,0
University Campus,04:22,Moderately-lit,0.01,0.36,1,0,1,0.44,1
Market Area,03:11,No lighting,0.48,0.45,0,1,1,0.78,0
Alleyway,04:32,Moderately-lit,0.63,0.81,0,0,0,0.25,0
Main Road,18:56,Poorly-lit,0.66,0.38,1,1,1,0.1,0
Market Area,22:33,Well-lit,0.13,0.5,1,0,1,0.86,1
Park,22:18,No lighting,0.18,0.56,0,1,1,0.18,0
Suburban Street,04:52,No lighting,0.21,0.27,0,0,0,0.53,0
Market Area,02:41,Well-lit,0.51,0.33,0,1,0,0.85,1
Public Transport Hub,00:15,Moderately-lit,0.14,0.57,0,1,1,0.72,0
Commercial District,02:33,No lighting,0.2,0.42,0,1,0,0.82,0
Industrial Zone,18:18,Poorly-lit,0.03,0.71,1,1,0,0.16,0
Market Area,05:43,No lighting,0.64,0.47,0,0,0,0.79,0
Public Transport Hub,03:15,Moderately-lit,0.04,0.63,1,1,1,0.75,1
Alleyway,18:18,Poorly-lit,0.15,0.69,0,0,0,0.16,0
Suburban Street,19:03,Moderately-lit,0.18,0.16,1,0,0,0.44,0
Market Area,20:50,Moderately-lit,0.15,0.36,0,1,0,0.73,0
Market Area,05:47,Moderately-lit,0.16,0.38,1,0,0,0.83,0
Residential Area,20:18,Poorly-lit,0.2,0.29,1,1,0,0.47,0
Commercial District,04:16,Well-lit,0.2,0.46,1,1,0,0.71,1
Market Area,20:10,Moderately-lit,0.55,0.46,1,0,1,0.78,1
Alleyway,00:04,Well-lit,0.12,0.85,0,0,0,0.12,0
Public Transport Hub,04:10,Poorly-lit,0.19,0.5,1,1,1,0.78,1
Public Transport Hub,22:38,Poorly-lit,0.19,0.45,1,1,1,0.87,1
Alleyway,03:08,Poorly-lit,0.04,0.91,0,0,0,0.19,0
Commercial District,23:26,Well-lit,0.41,0.55,1,1,1,0.77,1
Industrial Zone,05:36,No lighting,0.16,0.77,0,0,0,0.25,0
Industrial Zone,21:01,No lighting,0.13,0.56,0,0,1,0.28,0
Suburban Street,20:49,Moderately-lit,0.05,0.32,1,0,0,0.52,0
Suburban Street,22:24,No lighting,0.42,0.27,1,0,1,0.56,0
Market Area,19:49,Poorly-lit,0.2,0.55,1,1,0,0.83,0
Alleyway,00:29,Well-lit,0.31,0.79,0,0,1,0.15,0
Park,21:10,Well-lit,0.53,0.73,0,0,0,0.27,0
University Campus,21:08,No lighting,0.63,0.45,1,1,0,0.44,0
Residential Area,02:58,Moderately-lit,0.21,0.06,1,0,0,0.53,1
Main Road,02:33,No lighting,0.32,0.54,1,1,0,0.19,0
University Campus,04:29,Well-lit,0.14,0.2,0,1,0,0.59,1
Main Road,20:09,Poorly-lit,0.19,0.38,0,1,1,0.15,0
Commercial District,21:42,Moderately-lit,0.59,0.37,1,0,0,0.74,0
Industrial Zone,01:42,Well-lit,0.39,0.65,1,0,0,0.1,1
Alleyway,02:05,No lighting,0.03,0.94,0,0,0,0.24,0
Market Area,05:21,Well-lit,0.0,0.28,1,0,0,0.86,1
Alleyway,05:11,Moderately-lit,0.06,0.89,0,1,1,0.27,0
Alleyway,23:16,No lighting,0.65,0.81,0,0,1,0.19,0
Park,03:18,No lighting,0.29,0.58,0,0,0,0.19,0
Residential Area,02:02,Well-lit,0.04,0.21,1,0,0,0.48,1
Suburban Street,22:58,Moderately-lit,0.13,0.27,1,0,0,0.59,0
Main Road,22:44,No lighting,0.27,0.54,0,1,1,0.25,0
Industrial Zone,01:41,Moderately-lit,0.12,0.84,0,0,1,0.22,0
Commercial District,19:11,No lighting,0.02,0.49,0,0,1,0.86,0
Main Road,02:50,Poorly-lit,0.27,0.43,0,1,1,0.15,0
University Campus,19:12,Well-lit,0.22,0.37,0,1,0,0.54,1
Alleyway,22:12,Moderately-lit,0.05,0.77,0,0,0,0.1,0
University Campus,00:42,Moderately-lit,0.3,0.22,1,0,0,0.54,0
University Campus,05:09,Poorly-lit,0.05,0.25,0,0,1,0.53,0
Public Transport Hub,19:10,Well-lit,0.11,0.37,0,1,0,0.8,1
Industrial Zone,18:51,Moderately-lit,0.11,0.85,0,0,0,0.19,0
University Campus,18:26,Moderately-lit,0.17,0.15,1,0,0,0.42,0
Market Area,20:56,Well-lit,0.47,0.51,1,0,0,0.88,1
Market Area,19:40,Poorly-lit,0.24,0.32,0,0,1,0.88,0
Suburban Street,02:33,Moderately-lit,0.06,0.43,0,0,1,0.49,0
Public Transport Hub,18:21,Poorly-lit,0.38,0.36,1,1,0,0.7,0
Park,01:11,Poorly-lit,0.64,0.67,1,0,1,0.14,0
Suburban Street,20:54,Moderately-lit,0.12,0.27,1,0,1,0.47,1
Public Transport Hub,23:03,Moderately-lit,0.47,0.47,0,1,1,0.89,1
Public Transport Hub,03:13,Well-lit,0.47,0.59,0,1,1,0.86,1
Residential Area,00:05,No lighting,0.17,0.34,0,0,0,0.56,0
University Campus,03:38,Moderately-lit,0.57,0.29,1,0,0,0.54,0
Commercial District,23:05,No lighting,0.62,0.5,0,1,1,0.77,0
Residential Area,02:29,Moderately-lit,0.22,0.18,1,0,0,0.45,0
Public Transport Hub,23:37,No lighting,0.17,0.61,1,1,0,0.72,0
Alleyway,19:38,No lighting,0.23,0.69,0,1,0,0.25,0
Park,02:36,No lighting,0.78,0.67,1,1,1,0.12,0
University Campus,21:57,Well-lit,0.3,0.36,1,1,0,0.43,1
Main Road,03:38,No lighting,0.01,0.34,1,0,1,0.24,0
Commercial District,21:29,Poorly-lit,0.06,0.38,0,0,0,0.75,0
Commercial District,19:53,Well-lit,0.44,0.45,1,1,0,0.74,1
Suburban Street,21:50,No lighting,0.06,0.15,1,0,0,0.57,0
Residential Area,03:15,Poorly-lit,0.03,0.26,1,0,0,0.48,0
Residential Area,04:01,Well-lit,0.01,0.29,1,0,0,0.54,1
Main Road,02:41,No lighting,0.1,0.31,1,1,0,0.17,1
University Campus,22:38,No lighting,0.2,0.15,0,0,0,0.42,0
Park,23:50,Poorly-lit,0.38,0.6,0,0,0,0.12,0
Industrial Zone,03:49,Moderately-lit,0.09,0.65,0,0,0,0.12,0
Alleyway,00:13,Well-lit,0.2,0.74,1,0,0,0.19,1
Industrial Zone,05:09,Well-lit,0.62,0.66,0,0,1,0.26,1
Market Area,00:04,No lighting,0.11,0.26,1,0,0,0.83,0
Suburban Street,05:31,Poorly-lit,0.03,0.3,0,0,1,0.55,0
Alleyway,22:01,No lighting,0.28,0.71,0,0,0,0.26,0
Public Transport Hub,01:51,No lighting,0.18,0.45,1,1,0,0.73,0
Park,23:59,Moderately-lit,0.02,0.66,0,0,0,0.23,0
Residential Area,01:11,Poorly-lit,0.35,0.07,1,1,0,0.45,1
Market Area,01:46,Moderately-lit,0.3,0.46,0,0,0,0.88,0
Commercial District,18:06,Well-lit,0.2,0.55,0,1,1,0.85,1
Public Transport Hub,20:47,Moderately-lit,0.25,0.64,1,1,0,0.78,1
Market Area,18:37,Well-lit,0.3,0.55,1,0,0,0.89,1
Residential Area,00:19,No lighting,0.33,0.08,0,1,1,0.43,0
Suburban Street,20:22,Moderately-lit,0.24,0.16,1,0,1,0.54,1
Main Road,03:57,No lighting,0.45,0.4,1,1,1,0.12,0
Industrial Zone,22:33,Well-lit,0.33,0.6,0,1,0,0.14,1
Suburban Street,22:13,Poorly-lit,0.41,0.38,0,1,0,0.59,0
Park,20:46,No lighting,0.46,0.55,1,0,1,0.21,0
Suburban Street,03:39,Poorly-lit,0.2,0.29,0,1,0,0.52,0
Park,18:55,No lighting,0.13,0.6,1,1,1,0.22,0
Alleyway,20:14,Poorly-lit,0.03,0.81,0,0,0,0.21,0
Public Transport Hub,03:48,Well-lit,0.57,0.35,0,1,1,0.73,1
Residential Area,20:56,Well-lit,0.0,0.29,1,0,0,0.51,1
Park,18:22,Moderately-lit,0.01,0.62,0,0,1,0.17,0
Residential Area,03:20,Moderately-lit,0.16,0.13,1,1,1,0.48,1
Park,00:30,Well-lit,0.09,0.69,0,0,0,0.27,0
Market Area,20:50,Well-lit,0.08,0.49,0,1,1,0.74,1
Park,02:22,Well-lit,0.03,0.69,1,0,0,0.19,1
Suburban Street,20:38,No lighting,0.15,0.45,0,0,0,0.51,0
Commercial District,23:06,Poorly-lit,0.32,0.45,0,1,1,0.75,0
Commercial District,21:36,Moderately-lit,0.14,0.35,1,1,0,0.73,0
Suburban Street,18:04,Poorly-lit,0.37,0.37,1,0,0,0.45,0
Industrial Zone,00:15,Poorly-lit,0.5,0.83,0,1,0,0.16,0
Market Area,02:09,Well-lit,0.32,0.38,1,0,0,0.79,1
Market Area,20:04,Poorly-lit,0.31,0.3,0,0,1,0.82,0
Public Transport Hub,02:02,Moderately-lit,0.07,0.47,0,0,0,0.87,0
University Campus,19:45,Poorly-lit,0.51,0.43,1,0,0,0.44,0
Public Transport Hub,23:52,No lighting,0.25,0.53,1,0,1,0.82,0
Market Area,23:59,Moderately-lit,0.43,0.29,1,0,1,0.88,1
Market Area,18:58,Poorly-lit,0.17,0.43,1,0,0,0.9,0
Park,18:14,Well-lit,0.67,0.47,1,0,0,0.17,1
Main Road,04:19,No lighting,0.11,0.37,0,1,1,0.12,0
Suburban Street,23:55,No lighting,0.46,0.27,1,0,1,0.59,0
University Campus,20:33,Poorly-lit,0.39,0.18,1,0,0,0.46,0
University Campus,19:27,Poorly-lit,0.14,0.17,1,0,0,0.47,0
Residential Area,04:13,Moderately-lit,0.14,0.31,1,0,1,0.49,1
Residential Area,23:00,No lighting,0.47,0.27,0,0,0,0.54,0
Industrial Zone,18:42,Moderately-lit,0.14,0.57,0,1,1,0.17,0
Main Road,23:41,Poorly-lit,0.13,0.31,1,1,1,0.29,1
Commercial District,03:08,No lighting,0.24,0.4,1,1,1,0.83,1
Market Area,01:05,Well-lit,0.48,0.28,1,0,0,0.78,1
Main Road,04:05,Well-lit,0.17,0.3,1,1,1,0.27,1
Suburban Street,23:02,Moderately-lit,0.14,0.34,1,1,1,0.58,1
Residential Area,22:52,Moderately-lit,0.19,0.1,1,0,0,0.54,1
Residential Area,21:12,Moderately-lit,0.11,0.25,0,1,0,0.59,0
Suburban Street,02:03,Poorly-lit,0.38,0.17,1,0,1,0.46,0
Industrial Zone,02:12,Poorly-lit,0.18,0.57,1,0,0,0.2,0
Market Area,18:09,Well-lit,0.06,0.49,0,0,0,0.74,1
University Campus,05:09,No lighting,0.48,0.44,1,0,0,0.47,0
Residential Area,04:56,No lighting,0.04,0.18,1,1,0,0.51,0
Residential Area,19:01,No lighting,0.45,0.14,1,0,0,0.51,0
Alleyway,19:51,Well-lit,0.34,0.79,0,0,0,0.24,0
Suburban Street,22:44,No lighting,0.59,0.17,1,0,0,0.57,0
Main Road,04:40,Well-lit,0.14,0.31,0,1,1,0.16,1
Market Area,00:05,Well-lit,0.39,0.31,1,1,0,0.83,1
University Campus,03:28,Poorly-lit,0.32,0.4,1,1,0,0.58,0
Park,18:52,Poorly-lit,0.35,0.67,0,1,0,0.1,0
Commercial District,18:18,Poorly-lit,0.02,0.44,1,0,0,0.78,0
Suburban Street,19:16,Poorly-lit,0.24,0.18,1,1,1,0.5,1
Park,04:08,No lighting,0.11,0.55,0,0,0,0.22,0
Commercial District,04:46,Well-lit,0.0,0.46,0,1,1,0.85,1
Residential Area,04:09,Moderately-lit,0.35,0.09,1,0,0,0.46,1
Public Transport Hub,01:24,Poorly-lit,0.12,0.5,1,1,1,0.82,1
Market Area,04:42,No lighting,0.39,0.36,0,1,0,0.8,0
Market Area,23:32,No lighting,0.11,0.47,1,0,1,0.75,0
Main Road,20:10,Poorly-lit,0.55,0.48,1,1,0,0.23,0
Market Area,23:30,Poorly-lit,0.05,0.38,0,1,1,0.72,0
Market Area,20:04,No lighting,0.15,0.27,1,0,1,0.89,1
Suburban Street,20:42,Moderately-lit,0.05,0.43,1,0,0,0.59,0
University Campus,05:06,Poorly-lit,0.46,0.25,0,1,0,0.47,0
Commercial District,21:39,Poorly-lit,0.19,0.51,0,1,1,0.83,0
Main Road,19:20,No lighting,0.58,0.27,0,1,1,0.19,0
Suburban Street,04:58,No lighting,0.44,0.24,0,0,0,0.49,0
Industrial Zone,23:40,No lighting,0.11,0.67,0,0,0,0.26,0
Suburban Street,03:49,Moderately-lit,0.1,0.39,0,0,0,0.41,0
Residential Area,19:52,Moderately-lit,0.02,0.35,1,0,0,0.53,1
Public Transport Hub,04:53,No lighting,0.07,0.45,0,1,0,0.77,0
Market Area,01:37,No lighting,0.08,0.27,1,0,0,0.86,0
Public Transport Hub,04:15,Well-lit,0.05,0.36,1,1,1,0.73,1
Suburban Street,00:28,Well-lit,0.17,0.18,1,0,0,0.44,1
Commercial District,01:19,Well-lit,0.33,0.61,0,1,0,0.77,1
Park,02:23,No lighting,0.06,0.53,0,0,1,0.17,0
Park,18:45,Moderately-lit,0.13,0.58,1,0,0,0.29,0
Park,01:56,Well-lit,0.41,0.73,0,0,0,0.3,0
Market Area,00:36,Moderately-lit,0.03,0.45,0,0,0,0.86,0
Residential Area,19:23,Well-lit,0.02,0.34,1,0,0,0.47,1
Commercial District,00:23,Well-lit,0.31,0.49,0,1,1,0.74,1
Market Area,21:29,No lighting,0.38,0.32,0,1,0,0.8,0
Market Area,02:21,No lighting,0.63,0.53,1,1,0,0.86,0
Commercial District,18:05,Moderately-lit,0.04,0.62,1,1,1,0.79,1
Alleyway,02:01,Moderately-lit,0.1,0.7,1,1,0,0.18,0
Suburban Street,04:02,Well-lit,0.22,0.19,1,0,0,0.54,1
University Campus,21:02,Moderately-lit,0.34,0.44,0,1,0,0.46,0
Main Road,05:46,Well-lit,0.11,0.54,0,1,1,0.26,1
Commercial District,04:40,Moderately-lit,0.06,0.51,0,1,1,0.88,1
University Campus,01:50,Well-lit,0.11,0.43,1,0,0,0.46,1
Park,02:01,Well-lit,0.47,0.53,0,0,0,0.21,0
Public Transport Hub,22:16,Poorly-lit,0.2,0.44,0,1,1,0.79,0
Main Road,18:40,Well-lit,0.07,0.28,1,1,1,0.28,1
Industrial Zone,22:18,Poorly-lit,0.1,0.62,0,1,1,0.18,0
Market Area,20:03,Moderately-lit,0.65,0.26,1,0,0,0.73,1
Park,23:26,No lighting,0.2,0.46,1,0,0,0.26,0
Commercial District,03:23,No lighting,0.78,0.45,0,1,1,0.74,0
Residential Area,19:01,Well-lit,0.08,0.16,1,0,1,0.43,1
Alleyway,20:21,Well-lit,0.1,0.88,1,0,0,0.21,1
Alleyway,02:53,No lighting,0.34,0.75,0,0,1,0.18,0
Main Road,23:49,Well-lit,0.35,0.36,1,1,0,0.19,1
Industrial Zone,02:50,Well-lit,0.05,0.75,0,0,1,0.11,0
Alleyway,01:23,No lighting,0.19,0.94,0,0,0,0.17,0
Suburban Street,23:07,No lighting,0.53,0.26,1,1,0,0.6,0
University Campus,04:20,Moderately-lit,0.24,0.28,1,0,0,0.47,0
University Campus,19:10,Well-lit,0.22,0.22,1,0,1,0.42,1
Park,20:36,Well-lit,0.16,0.57,0,1,0,0.27,1
Market Area,19:09,Moderately-lit,0.06,0.49,1,0,0,0.77,0
Main Road,01:12,No lighting,0.06,0.36,1,1,0,0.18,0
Main Road,00:56,Poorly-lit,0.16,0.25,1,1,1,0.23,1
Suburban Street,00:47,Poorly-lit,0.25,0.28,1,1,0,0.48,0
Market Area,03:10,Well-lit,0.09,0.36,1,1,0,0.76,1
Park,23:38,No lighting,0.14,0.56,0,0,1,0.17,0
Industrial Zone,21:33,Poorly-lit,0.23,0.77,0,1,0,0.24,0
Commercial District,01:53,Moderately-lit,0.41,0.39,1,0,0,0.9,1
Market Area,01:58,Poorly-lit,0.02,0.3,1,1,1,0.75,1
Park,05:56,No lighting,0.24,0.57,1,0,1,0.17,0
Suburban Street,04:10,Well-lit,0.23,0.39,1,0,0,0.46,1
